timestamp_utc,doc_id,name,floor_eth,eth_usd_rate,floor_usd
2026-09-02T15:19:09Z,134,Chobo Silver Ring,8.9e-05,2386.2,0.2124
2026-09-02T15:19:09Z,135,Crusader Silver Ring,9.0989e-05,2386.2,0.2171
2026-09-02T15:19:09Z,136,Overseer Silver Ring,8.89998e-05,2386.2,0.2124
2026-09-02T15:19:09Z,137,Athena Silver Ring,8.88e-05,2386.2,0.2119
2026-09-02T15:19:09Z,138,Archon Silver Ring,8.98e-05,2386.2,0.2143
2026-09-02T15:19:09Z,139,Foxglove Silver Ring,8.39989e-05,2386.2,0.2004
2026-09-02T15:19:09Z,140,Summoner Silver Ring,8.95e-05,2386.2,0.2136
2026-09-02T15:19:09Z,243,Golden Archon Ring,0.00083899,2386.2,2.002
2026-09-02T15:19:09Z,244,Golden Athena Ring,0.000894,2386.2,2.1333
2026-09-02T15:19:09Z,245,Golden Chobo Ring,0.000789,2386.2,1.8827
2026-09-02T15:19:09Z,246,Golden Crusader Ring,0.000839,2386.2,2.002
2026-09-02T15:19:09Z,247,Golden Foxglove Ring,0.0007899,2386.2,1.8849
2026-09-02T15:19:09Z,248,Golden Overseer Ring,0.000827989,2386.2,1.9757
2026-09-02T15:19:09Z,249,Golden Summoner Ring,0.0007899899,2386.2,1.8851
2026-09-02T18:05:13Z,134,Chobo Silver Ring,8.492e-05,2392.71,0.2032
2026-09-02T18:05:13Z,135,Crusader Silver Ring,8.5e-05,2392.71,0.2034
2026-09-02T18:05:13Z,136,Overseer Silver Ring,8.5e-05,2392.71,0.2034
2026-09-02T18:05:13Z,137,Athena Silver Ring,8e-05,2392.71,0.1914
2026-09-02T18:05:13Z,138,Archon Silver Ring,8.969e-05,2392.71,0.2146
2026-09-02T18:05:13Z,139,Foxglove Silver Ring,8.39988e-05,2392.71,0.201
2026-09-02T18:05:13Z,140,Summoner Silver Ring,8.949999e-05,2392.71,0.2141
2026-09-02T18:05:13Z,243,Golden Archon Ring,0.0008,2392.71,1.9142
2026-09-02T18:05:13Z,244,Golden Athena Ring,0.0008939,2392.71,2.1388
2026-09-02T18:05:13Z,245,Golden Chobo Ring,0.000788,2392.71,1.8855
2026-09-02T18:05:13Z,246,Golden Crusader Ring,0.00081918,2392.71,1.9601
2026-09-02T18:05:13Z,247,Golden Foxglove Ring,0.00078911,2392.71,1.8881
2026-09-02T18:05:13Z,248,Golden Overseer Ring,0.0007992,2392.71,1.9123
2026-09-02T18:05:13Z,249,Golden Summoner Ring,0.00078998,2392.71,1.8902
2026-09-03T18:05:11Z,134,Chobo Silver Ring,7.99999e-05,2502.53,0.2002
2026-09-03T18:05:11Z,135,Crusader Silver Ring,8.499e-05,2502.53,0.2127
2026-09-03T18:05:11Z,136,Overseer Silver Ring,8.4e-05,2502.53,0.2102
2026-09-03T18:05:11Z,137,Athena Silver Ring,8.878999e-05,2502.53,0.2222
2026-09-03T18:05:11Z,138,Archon Silver Ring,8e-05,2502.53,0.2002
2026-09-03T18:05:11Z,139,Foxglove Silver Ring,8e-05,2502.53,0.2002
2026-09-03T18:05:11Z,140,Summoner Silver Ring,8.191e-05,2502.53,0.205
2026-09-03T18:05:11Z,243,Golden Archon Ring,0.00083799,2502.53,2.0971
2026-09-03T18:05:11Z,244,Golden Athena Ring,0.00080999999,2502.53,2.027
2026-09-03T18:05:11Z,245,Golden Chobo Ring,0.000798,2502.53,1.997
2026-09-03T18:05:11Z,246,Golden Crusader Ring,0.00075,2502.53,1.8769
2026-09-03T18:05:11Z,247,Golden Foxglove Ring,0.00076998989999,2502.53,1.9269
2026-09-03T18:05:11Z,248,Golden Overseer Ring,0.00082699999,2502.53,2.0696
2026-09-03T18:05:11Z,249,Golden Summoner Ring,0.000794,2502.53,1.987
