timestamp_utc,prizepot_usd,prizepot_raw_cents
2026-08-28T23:04:07Z,37383.97,3738397
2026-08-28T23:11:19Z,37383.97,3738397
2026-08-29T13:51:29Z,37487.77,3748777
2026-08-29T14:26:01Z,37487.77,3748777
2026-08-29T15:46:09Z,37487.77,3748777
2026-08-29T17:59:02Z,37487.77,3748777
2026-08-30T05:59:02Z,37557.76,3755776
2026-08-30T17:59:01Z,37676.11,3767611
2026-08-31T05:59:02Z,37689.27,3768927
2026-08-31T17:59:02Z,37727.99,3772799
2026-09-01T05:59:02Z,37757.86,3775786
2026-09-01T17:59:02Z,37877.5,3787750
2026-09-02T05:59:03Z,37968.97,3796897
2026-09-02T17:59:02Z,38221.3,3822130
2026-09-03T05:59:02Z,38250.18,3825018
2026-09-03T17:59:02Z,38317.88,3831788
2026-09-04T05:59:03Z,38407.6,3840760
2026-09-04T17:59:02Z,38438.18,3843818
2026-09-05T05:59:02Z,38487.23,3848723
2026-09-05T17:59:02Z,38500.27,3850027
2026-09-06T05:59:02Z,38548.69,3854869
2026-09-06T17:59:02Z,38849.86,3884986
2026-09-07T05:59:02Z,38926.07,3892607
2026-09-07T17:59:02Z,39012.53,3901253
2026-09-08T05:59:02Z,39038.68,3903868
2026-09-08T17:59:01Z,39262.66,3926266
2026-09-09T05:59:02Z,39274.31,3927431
2026-09-09T17:59:02Z,39312.68,3931268
2026-09-10T05:59:02Z,39364.63,3936463
2026-09-10T17:59:02Z,39632.74,3963274
2026-09-11T05:59:02Z,40057.52,4005752
2026-09-11T17:59:02Z,40227.68,4022768
2026-09-12T05:59:02Z,40267.66,4026766
2026-09-12T17:59:03Z,40394.17,4039417
2026-09-13T05:59:01Z,40407.46,4040746
2026-09-13T17:59:01Z,40419.46,4041946
2026-09-14T05:59:02Z,40444.52,4044452
2026-09-14T17:59:03Z,40496.09,4049609
2026-09-15T05:59:02Z,40496.09,4049609
2026-09-15T17:59:02Z,40534.12,4053412
2026-09-16T05:59:02Z,40575.91,4057591
2026-09-16T17:59:02Z,40588.5,4058850
2026-09-17T05:59:02Z,40644.4,4064440
2026-09-17T17:59:02Z,40668.86,4066886
2026-09-18T05:59:02Z,40694.56,4069456
2026-09-18T17:59:03Z,40736.41,4073641
2026-09-19T05:59:02Z,40750.11,4075011
2026-09-19T17:59:02Z,40796.07,4079607
2026-09-20T05:59:02Z,40796.07,4079607
2026-09-20T17:59:02Z,40824.14,4082414
2026-09-21T05:59:02Z,40899.22,4089922
2026-09-21T17:59:01Z,41003.34,4100334
2026-09-22T05:59:01Z,41192.22,4119222
2026-09-22T17:59:02Z,41264.04,4126404
2026-09-23T05:59:02Z,41291.41,4129141
2026-09-23T17:59:02Z,41304.21,4130421
2026-09-24T05:59:02Z,41318.33,4131833
2026-09-24T17:59:02Z,41332.37,4133237
2026-09-25T05:59:02Z,41374.74,4137474
2026-09-25T17:59:02Z,41407.32,4140732
2026-09-26T05:59:07Z,41448.41,4144841
2026-09-26T17:59:02Z,41476.73,4147673
