timestamp_utc,prizepot_usd,prizepot_raw_cents
2026-08-30T15:59:50Z,37676.11,3767611
2026-08-30T19:56:42Z,37689.27,3768927
2026-08-31T21:59:09Z,37727.99,3772799
2026-09-01T20:01:50Z,37877.5,3787750
2026-09-02T19:58:51Z,38221.3,3822130
2026-09-03T20:01:33Z,38381.27,3838127
2026-09-04T19:46:48Z,38438.18,3843818
2026-09-05T19:14:12Z,38513.32,3851332
2026-09-06T19:23:42Z,38899.73,3889973
2026-09-08T20:03:56Z,39274.31,3927431
2026-09-09T19:56:18Z,39312.68,3931268
2026-09-10T19:55:51Z,39981.43,3998143
2026-09-11T19:55:18Z,40241.06,4024106
2026-09-12T19:33:01Z,40407.46,4040746
2026-09-13T19:37:42Z,40431.34,4043134
2026-09-14T21:00:45Z,40496.09,4049609
2026-09-15T20:21:19Z,40546.93,4054693
2026-09-16T20:20:08Z,40644.4,4064440
2026-09-17T20:28:26Z,40668.86,4066886
2026-09-18T19:51:43Z,40750.11,4075011
2026-09-19T19:27:29Z,40796.07,4079607
2026-09-20T19:38:14Z,40850.16,4085016
2026-09-21T21:10:29Z,41135.77,4113577
2026-09-22T20:21:11Z,41276.84,4127684
2026-09-23T20:35:38Z,41304.21,4130421
